top - 14:53:50 up  2:04,  3 users,  load average: 0.08, 0.20, 0.14
Tasks: 141 total,   1 running,  94 sleeping,  12 stopped,   0 zombie
%Cpu(s):  3.6 us,  1.0 sy,  0.0 ni, 94.7 id,  0.4 wa,  0.0 hi,  0.1 si,  0.1 st
KiB Mem :  1007296 total,    81528 free,   603008 used,   322760 buff/cache
KiB Swap:        0 total,        0 free,        0 used.   274696 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 3774 root      20   0  107996   6976   5968 S  0.0  0.7   0:00.01 sshd
 3873 ubuntu    20   0  108364   5224   4088 S  0.0  0.5   0:01.31 sshd
 3936 ubuntu    20   0  107996   3328   2320 S  0.0  0.3   0:00.00 sshd
 3937 ubuntu    20   0   13060   2300   2140 S  0.0  0.2   0:00.00 sftp-server
 3938 ubuntu    20   0   23116   5008   3300 S  0.0  0.5   0:00.03 bash
 3978 root      20   0   63476   3736   3264 S  0.0  0.4   0:00.01 su
 3985 desai     20   0   24268   6368   3560 S  0.0  0.6   0:00.38 bash
 4565 root      20   0  107996   7044   6032 S  0.0  0.7   0:00.02 sshd
 4592 root      20   0  107996   7144   6136 S  0.0  0.7   0:00.01 sshd
 4692 ubuntu    20   0  108300   5192   3944 S  0.0  0.5   0:00.30 sshd
 4753 ubuntu    20   0  107996   3464   2456 S  0.0  0.3   0:00.00 sshd
 4754 ubuntu    20   0   13060   2104   1948 S  0.0  0.2   0:00.00 sftp-server
 4755 ubuntu    20   0   23116   5016   3312 S  0.0  0.5   0:00.03 bash
 4774 root      20   0   63476   3840   3368 S  0.0  0.4   0:00.00 su
 4800 desai     20   0   23344   5420   3476 S  0.0  0.5   0:00.17 bash
 7297 root      20   0       0      0      0 I  0.0  0.0   0:00.15 kworker/0:2
 8819 root      20   0       0      0      0 I  0.0  0.0   0:00.25 kworker/u30:0
14387 root      20   0   68452   4472   3832 T  0.0  0.4   0:00.00 sudo
14407 root      20   0    7960    868    804 T  0.0  0.1   0:00.00 tail
21669 root      20   0       0      0      0 I  0.0  0.0   0:00.09 kworker/u30:1
25381 desai     20   0   44504   3976   3396 T  0.0  0.4   0:00.01 top
26481 desai     20   0   13312   3212   2988 T  0.0  0.3   0:00.00 bash
26482 desai     20   0   13312    260      0 T  0.0  0.0   0:00.00 bash
26483 desai     20   0   13312    264      0 T  0.0  0.0   0:00.00 bash
26484 desai     20   0   44508   3920   3336 T  0.0  0.4   0:00.01 top
26509 desai     20   0   13312   3232   3004 T  0.0  0.3   0:00.00 bash
26510 desai     20   0   13312    260      0 T  0.0  0.0   0:00.00 bash
26511 desai     20   0   13312   2044   1776 T  0.0  0.2   0:00.00 bash
26512 desai     20   0   44512   3920   3332 T  0.0  0.4   0:00.00 top
26550 desai     20   0   44516   3872   3284 T  0.0  0.4   0:00.00 top
27509 desai     20   0   13312   3172   2936 S  0.0  0.3   0:00.00 bash
27510 desai     20   0   13312    256      0 S  0.0  0.0   0:00.00 bash
27511 desai     20   0   13312    260      0 S  0.0  0.0   0:00.00 bash
